Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Sectors for Entities as a filter
27th Scientific Center,✅,❌,❌,❌,❌,❌,I
33rd Scientific Research and Testing Institute,✅,❌,❌,❌,❌,❌,O
90 Eksperimentalny Zavod OAO,✅,❌,❌,❌,❌,❌,I
"Achim Development, OOO",✅,❌,❌,❌,❌,❌,I
Activebusinesscollection LLC,✅,❌,❌,❌,❌,❌,I
Admiralty Shipyard JSC,❌,❌,❌,✅,✅,❌,I
Agroholding Kuban,✅,❌,❌,❌,❌,❌,I
"Agrokredit-Inform, AO",✅,❌,❌,❌,❌,❌,I
Airfix Aviation Oy,✅,❌,❌,❌,❌,❌,I
AK Transneft OAO,✅,❌,❌,❌,❌,❌,I
Akademik Cherskiy (Vessel),✅,❌,❌,❌,❌,❌,I
Aktsionerny Bank Russian Federation,❌,❌,❌,❌,✅,❌,I
"Albashski Elevator, OAO",✅,❌,❌,❌,❌,❌,I
Aleksandrov Scientific Research Technological Institute NITI,❌,❌,❌,✅,✅,❌,I
Alexsong Pte Ltd,✅,❌,❌,❌,❌,❌,I
Alfa-Bank,✅,✅,❌,✅,✅,✅,I
ALFA CAPITAL MARKETS LTD,✅,❌,❌,❌,❌,❌,I
ALFA-DIRECT,✅,❌,❌,❌,❌,❌,I
ALFA-FOREX LLC,✅,❌,❌,❌,❌,❌,I
ALFA-LIZING OOO,✅,❌,❌,❌,❌,❌,I
Alkes Treid OOO,✅,❌,❌,❌,❌,❌,I
Alrosa,❌,✅,❌,❌,✅,❌,I
Altitude X3 LTD,✅,❌,❌,❌,❌,❌,I
AMSTERDAM TRADE BANK NV,✅,❌,❌,❌,❌,❌,I
Amur Shipbuilding Factory PJSC,❌,❌,❌,✅,❌,❌,I
Antares OOO,✅,❌,❌,❌,❌,❌,I
AO ABR Management,✅,❌,❌,❌,❌,❌,I
AO AST,✅,❌,❌,❌,❌,❌,I
AO Center of Shipbuilding and Ship Repairing JSC,❌,❌,❌,✅,❌,❌,I
AO Elektrotyaga,✅,❌,❌,❌,❌,❌,I
AO FINTENDER,✅,❌,❌,❌,❌,❌,I
