Sanctioned Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Japan,Type,Sanctions Lists,Notes,
234th Guards Airborne Assault Regiment,✅,❌,❌,❌,❌,❌,❌,Entity,,,
27TH Scientific Center,✅,❌,❌,❌,❌,❌,❌,Entity,,,
33rd scientific research and testing institute,✅,❌,❌,❌,❌,❌,❌,Entity,,,
3A-MGU,✅,❌,❌,❌,❌,❌,❌,Aircraft,,,
46th TSNII Central Scientific Research Institute,❌,❌,❌,✅,❌,❌,❌,Entity,,,
64th Guards Detached Motor Rifle Brigade,✅,❌,❌,❌,❌,❌,❌,Entity,,,
76th Guards Airborne Assault Chernigov Red Banner Order Of Suvorov Division,✅,❌,❌,❌,❌,❌,❌,Entity,,,
90 eksperimentalny zavod oao,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Abdu Tamer Hassan,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Abdulkhakim Kutbudinovich Gadzhiyev,✅,❌,✅,✅,❌,✅,✅,Individual,,,
Abu Hani Shammout,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Abuzayed Vismuradov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Academician A.L. Mints Radiotechnical Institute Joint Stock Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Achim Development, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Activebusinesscollection Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Adalbi Lyulevich Shkhagoshev,✅,✅,✅,❌,✅,❌,✅,Individual,,,
Adam Sultanovich Delimkhanov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Adler,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Administration of the President of Russia,❌,❌,❌,❌,✅,❌,❌,Entity,,,
Advanced Research Foundation,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aelita Leonidovna Mamakova,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Afa-Forex LLS,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Agent de Asigurare Lider Asig Societate cu Raspundere Limitata,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Agroholding Kuban,✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Agrokredit-inform, Ao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Agropromyshlenny Kompleks Voronezhski OOO,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Ahmed Shamkhanovich Dogaev,❌,✅,✅,❌,✅,❌,✅,Individual,,,
Aidar Raisovich Metshin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Airat Minerasikhovich Gibatdinov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Airat Zakievich Farrakhov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Airfix Aviation Oy,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aisen Sergeyevich Nikolayev,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Akademik Cherskiy,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Akhmat Anzorovich Salpagarov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Aktsionernoe Obschestvo 'yaltinskaya Kinodstudiya',✅,❌,❌,❌,✅,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Ast,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Elektron Optronik,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Fintender,✅,❌,❌,❌,❌,❌,❌,Entity,,,
